attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,class
50,40,15316,16788,3962,1104,8515,4313,1227,2617,7
66,35,4060,5248,4035,8462,8921,3513,1788,387,7
64,26,13350,25652,4648,2432,5452,3231,972,851,7
70,29,53790,52985,1257,15440,6760,9391,2147,1746,7
57,35,576562,219135,25813,36105,8541,15403,4299,1332,7
48,27,1376466,165146,32231,36451,23629,17909,15519,3179,7
61,21,39257,11598,1173,3211,1794,1039,1036,252,7
61,27,1419365,258466,154448,57045,93074,26888,40628,4902,7
74,23,1741561,129477,9639,23523,8825,31342,4871,2956,7
48,35,2065016,493044,88696,115950,84491,28440,22318,13475,7
48,47,612635,17119,13666,9229,4461,4115,624,505,7
50,35,46305,10599,7529,4453,9729,5988,7080,2298,7
50,35,22202,31643,23029,23142,10311,8239,6293,3945,7
51,54,1379685,74634,67670,40892,24838,6731,3610,2766,7
41,48,949534,351804,29836,8840,43148,10317,7146,5508,7
30,56,19738,20006,29484,3792,6508,5903,4712,2182,7
47,53,60954,13458,20805,6482,10414,15951,5835,1460,7
48,51,294843,36888,22085,17861,3211,3600,1646,727,7
29,38,341086,293877,122360,79977,38989,12805,11436,2047,7
47,48,26894,10790,8786,14157,5701,10241,6238,1613,7
56,43,22956,13147,1841,3944,13447,4273,3504,1688,7
69,43,26017,18220,7561,5701,15454,14391,2149,3318,7
78,34,71407,156866,15072,18821,17842,9538,3741,1489,7
67,29,17145,14283,4123,8631,3709,2839,2387,541,7
53,30,553760,118956,12046,17103,16739,9019,3034,1636,7
37,34,4789,16294,4718,4686,11530,2064,3035,1233,7
44,47,406249,27701,20032,44690,29821,9261,4969,2987,7
38,51,2220288,34575,65350,36415,48759,9085,2508,2950,7
29,51,71550,396422,39267,47799,27662,11475,13674,8873,7
26,48,188494,144786,28167,5197,11748,9568,3668,1654,7
35,23,537065,177151,21956,23179,9937,12519,2792,842,7
53,43,109799,13587,2449,70940,14006,12367,5461,4323,7
57,60,80563,111809,52629,16804,22795,27787,10628,1309,7
57,57,262080,52773,8333,2935,3512,3694,499,271,7
51,35,354938,48043,5015,2991,9027,4008,1601,975,7
29,21,33244,188811,24540,10765,7706,4986,2658,1543,7
30,21,107217,27580,16743,3665,7327,7833,8572,1489,7
40,21,95840,97051,6898,19916,30421,17911,5693,1992,7
41,37,643910,38084,21264,12521,3037,6200,2233,1170,7
44,37,291618,203787,27402,6059,8135,7244,3567,984,7
34,30,1133145,295873,27425,68991,59319,19260,9200,2040,7
38,43,579275,21515,16790,14455,16043,11392,3507,3198,7
34,37,280333,257317,48553,87239,55587,19742,11267,2812,7
38,41,700396,382760,80687,34411,39013,26301,13675,14537,7
30,41,2173468,253426,26314,35912,13274,8318,17866,11121,7
20,34,197094,68116,5618,21779,12603,7068,8904,2915,7
11,43,1272199,99432,129552,47604,29436,6391,11666,4831,7
24,37,890293,728273,28483,51848,95652,53833,16657,6985,7
24,35,46900,90210,17671,10842,9067,8603,11995,10464,7
48,30,957628,52959,78999,16568,35562,33711,18348,8089,7
44,35,792866,91990,18125,85597,74312,9510,8874,6909,7
41,29,904516,52643,598,1948,4978,2855,3195,771,7
54,24,45311,27367,7020,4117,29842,9520,9316,4221,7
50,26,223045,58738,54376,17556,12883,18473,12218,3174,7
78,24,20179,25695,1883,1237,7558,13029,4424,1577,7
67,34,72591,14179,5662,1082,2003,1827,1169,1687,7
77,24,10940,14794,5693,2715,5847,8782,4487,4956,7
50,37,741374,309224,31220,32838,19425,29909,14167,6731,5
51,38,122172,60203,20029,14510,10399,11001,6366,3319,5
53,40,21682,23355,11258,5526,4908,16837,7229,6087,5
69,43,286043,25495,11395,11342,11725,7429,9054,3437,5
66,44,543440,72263,9700,9445,11224,5535,5452,4313,5
54,34,1070113,432447,33317,17701,30314,16868,24097,4147,5
27,23,704862,188428,9058,19131,13945,7029,8164,3843,5
20,30,8318,15801,20779,13379,8238,3804,11118,1779,5
29,37,110130,25517,6484,9749,6845,6989,4500,4821,5
43,40,51194,45969,2713,9095,11363,9000,6782,2126,5
57,56,20713,15941,11192,10049,4864,4866,3543,2511,5
35,29,395114,500144,5645,31175,16360,16149,7656,2553,5
41,29,822929,83251,8704,10392,23531,16267,16830,9757,5
35,34,568899,586654,206018,385773,339250,24458,102063,48082,5
44,48,1507082,83223,20832,9938,10234,8437,10234,5260,5
37,38,689575,77325,14471,17356,10651,10542,7910,8825,5
26,54,70418,8796,9653,3270,3607,1232,1592,430,5
30,51,957381,232928,100252,20739,30565,12959,10440,6019,5
34,53,71369,72398,19336,19636,10305,9982,4788,3248,5
29,54,126675,67079,21940,7709,14976,6303,4410,8113,5
44,50,19915,10720,5311,9079,7522,6802,8902,2362,5
54,47,537982,53354,8177,20991,48717,8604,4443,3273,5
69,41,2338,37009,12868,3298,3904,16846,8403,3814,5
75,38,47892,44134,4182,9061,7723,6251,6427,2696,5
88,51,42369,6861,4384,12049,14454,9713,2801,3573,5
54,48,1958068,193971,30242,3082,21136,2760,7993,1388,5
56,50,578031,34708,8967,7244,13354,5735,2692,11775,5
47,44,332220,27942,37650,1936,16104,9175,3717,2539,5
29,43,754112,175282,55210,44913,20579,20976,8267,5998,5
66,44,92169,21771,6017,3753,10928,16140,3387,1301,5
57,43,1421226,51584,8100,7149,8171,3789,3405,1840,5
61,34,43168,21254,3792,6780,12038,5236,4347,2927,5
74,24,12475,25436,11033,2382,9430,22229,7764,2446,5
57,27,984660,375558,100509,26142,15707,5495,4416,2973,5
44,47,23365,12676,19552,5350,10158,3593,8650,3307,5
29,43,524502,124979,17405,9143,17948,17254,5804,2459,5
53,37,516401,99118,7942,9874,2694,12912,3611,5575,5
43,20,171546,123280,5020,2182,3263,3351,1173,343,5
40,10,263924,85348,4956,24369,6185,7370,2335,3137,5
34,14,1394992,129957,23285,20398,18422,9488,6438,3464,5
26,16,358159,173801,31966,1407,4913,11296,2661,4150,5
60,48,326565,112035,98864,29849,9699,16543,21205,4365,5
66,53,72950,66133,39338,7440,13018,12634,5278,4873,5
70,66,113116,36006,33459,16018,11213,9016,9152,6882,5
44,57,436243,337461,57054,26233,24238,17663,9220,4780,5
34,37,817507,246995,13606,9215,35742,5785,3786,3876,5
29,37,219104,28581,13308,8824,12098,4573,3267,1827,5
26,26,362786,73486,24933,4761,10333,7607,4589,1956,5
40,38,320786,66468,7052,5432,11031,6850,4754,6600,5
54,38,14637,11567,7762,4683,5746,11174,3539,2635,5
63,41,6172,15807,4452,11906,9595,5563,5102,3572,5
83,47,2940,6956,5247,7832,3359,6092,6835,4118,5
100,51,3362,2937,5094,2899,1793,22735,3018,5891,5
93,54,7473,13420,11990,9327,9662,10321,2362,4289,5
83,60,21344,26659,19953,13833,4540,6183,5958,4610,5
77,60,21686,12522,14421,2623,7882,7822,2884,5248,5
77,54,9781,5131,10197,6024,7678,11819,4658,4570,5
78,60,16985,7140,16299,6984,5176,10531,2742,5473,5
81,60,23507,13797,18125,4328,3466,13684,4042,8478,5
60,60,482840,126988,28133,8871,6147,4594,4712,3113,5
43,53,568751,178294,49732,23743,16661,19930,2581,3043,5
48,38,13831,13299,2093,3440,7233,11743,3431,5827,5
47,43,7997,5699,20439,5302,5014,11476,5625,3792,5
61,54,7602,7267,14575,3970,8230,3739,4184,4026,5
75,60,6015,4804,3006,6719,5496,6630,6191,4401,5
56,57,672811,325019,26384,21006,11309,22718,7284,4049,5
